source,source_url,doi,license,raw_file,sample,test_type,source_table,area,soil_type,net_confining_pressure_kpa,matric_suction_kpa,peak_deviator_stress_kpa,dry_density_g_cm3,degree_saturation,split
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-36,single_stage,F-1,0.5:1 slope,MH,27.6,152.0,264.5,1.27,0.6,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-91,single_stage,F-1,0.5:1 slope,MH,69.0,27.6,187.5,1.3,0.92,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-40,single_stage,F-1,0.5:1 slope,MH,34.5,34.5,160.0,1.16,0.75,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-42,single_stage,F-1,0.5:1 slope,MH,75.8,20.7,200.5,1.32,0.98,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-43,single_stage,F-1,0.5:1 slope,ML,103.4,13.8,388.9,1.67,0.98,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-94,single_stage,F-1,0.5:1 slope,ML,113.8,37.9,433.7,1.36,0.94,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-47,single_stage,F-1,0.25:1 slope,MH,82.7,89.6,292.8,1.09,0.65,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-124,single_stage,F-1,0.25:1 slope,MH,137.9,62.1,353.0,1.2,0.81,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-50,single_stage,F-1,0.25:1 slope,MH,41.4,62.1,197.2,1.11,0.71,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-53,single_stage,F-1,0.25:1 slope,MH,82.7,27.6,202.7,1.17,0.92,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-54,single_stage,F-1,0.25:1 slope,ML,93.1,24.1,239.9,1.36,0.94,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-59B,single_stage,F-1,1:1 slope,ML,20.7,72.4,175.1,1.74,0.52,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-60,single_stage,F-1,1:1 slope,ML,20.7,55.2,175.1,1.82,0.61,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-114B,single_stage,F-1,1:1 slope,ML,82.7,55.2,336.5,1.72,0.63,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-116E,single_stage,F-1,1:1 slope,ML,137.9,10.3,392.3,1.76,0.79,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-65A,single_stage,F-1,sheet pile,ML,82.7,31.0,388.2,1.67,0.98,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-65B,single_stage,F-1,sheet pile,ML,100.0,31.0,432.3,1.71,0.99,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-75,single_stage,F-1,sheet pile,SC,75.8,27.6,281.3,1.63,0.88,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-77,single_stage,F-1,sheet pile,SC,69.0,55.2,315.8,1.61,0.85,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,ST-85,single_stage,F-1,sheet pile,SC,103.4,27.6,330.3,1.53,0.83,holdout_single_stage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-01,multi_stage,F-2,slope area,mixed,20.7,82.7,177.4,1.19,0.54,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-02,multi_stage,F-2,slope area,mixed,20.7,124.1,195.6,1.21,0.49,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-03,multi_stage,F-2,slope area,mixed,20.7,93.1,177.2,1.08,0.65,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-04,multi_stage,F-2,slope area,mixed,20.7,124.1,197.2,1.09,0.6,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-05,multi_stage,F-2,slope area,mixed,27.6,75.8,186.5,1.15,0.63,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-06,multi_stage,F-2,slope area,mixed,27.6,137.9,180.1,1.16,0.59,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-07,multi_stage,F-2,slope area,mixed,27.6,20.7,103.4,1.08,0.91,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-08,multi_stage,F-2,slope area,mixed,27.6,89.6,195.1,1.09,0.65,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-09,multi_stage,F-2,slope area,mixed,20.7,55.2,146.1,1.08,0.67,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-10,multi_stage,F-2,slope area,mixed,20.7,82.7,166.2,1.09,0.61,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-11,multi_stage,F-2,slope area,mixed,34.5,55.2,143.5,1.1,0.66,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-12,multi_stage,F-2,slope area,mixed,34.5,106.9,207.3,1.11,0.59,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-13,multi_stage,F-2,slope area,mixed,24.1,75.8,168.2,1.13,0.65,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-14,multi_stage,F-2,slope area,mixed,24.1,120.7,202.7,1.13,0.62,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-15,multi_stage,F-2,slope area,mixed,24.1,27.6,111.7,1.12,0.9,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-16,multi_stage,F-2,slope area,mixed,24.1,89.6,169.6,1.12,0.69,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-17,multi_stage,F-2,slope area,mixed,24.1,137.9,206.2,1.13,0.58,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-18,multi_stage,F-2,slope area,mixed,41.4,44.8,159.3,1.08,0.76,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-19,multi_stage,F-2,slope area,mixed,41.4,89.6,200.0,1.09,0.72,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-20,multi_stage,F-2,slope area,mixed,62.1,31.0,215.5,1.19,0.91,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-21,multi_stage,F-2,slope area,mixed,62.1,62.1,266.3,1.2,0.86,train_multistage
Gabr et al. Mendeley Data p9tmzckdpt,https://data.mendeley.com/datasets/p9tmzckdpt/1,10.17632/p9tmzckdpt.1,CC0 1.0,external_data/gabr_2019_unsaturated_residual_soil_triaxial/Binder1.pdf,F2-22,multi_stage,F-2,slope area,mixed,131.0,10.3,318.4,1.69,0.9,train_multistage
